name,logo_src,location,type,avg_tuition_annually,avg_tuition_after_aid,avg_aid_pack,grad_rate,address,phone_number,website,application_link,acceptance_rate,reg_app_due_date,SAT_range,ACT_range,required_GPA,required_rank,required_ACT_SAT,student_to_faculty_ratio,retention_rate_majors_avail,financial_aid_app_due_date,avg_housing_cost,undergrad_pop,campus_life,majors_available
College Of Health Care Professions Northwest San Antonio,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"San Antonio, TX",Private,$27K,"$26,546",Not available,Not available,"4738 NW Loop 410, San Antonio, TX 78229",Phone number not available,chcp.edu/student-services/admissions,https://www.chcp.edu/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,22:1,45%,Not available,Not available,Not available,Urban,8
College Of Hair Design Downtown,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Lincoln, NE",Career and Technical,$13K,"$12,811",Not available,Not available,"304 S 11th St, Lincoln, NE 68508",Phone number not available,collegeofhairdesign.com/contact.htm,https://www.collegeofhairdesign.com/apply/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,10:1,87%,Not available,Not available,Not available,Urban,1
College Of Hair Design Careers,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Salem, OR",Career and Technical,$11K,"$11,122",Not available,Not available,"1684 Clay St NE, Salem, OR 97301",Phone number not available,collegeofhairdesigncareers.com,,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,18:1,76%,Not available,Not available,Not available,Urban,7
College of Eastern Idaho,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3139_Logo.gif&w=3840&q=75,"Idaho Falls, ID",2-year • Public,$9K,"$8,825",Not available,Not available,"1600 S 25th E, Idaho Falls, ID 83404",,cei.edu,https://cei.elluciancrmrecruit.com/Apply/Account/Login?ReturnUrl=%2fApply,Not available,Not available,Not available*,Not available*,Not available,Not available,Considered if submitted,13:1,67%,Not available,Not available,"1,355",Small • Suburban,23
College of DuPage,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F4438_Logo.gif&w=3840&q=75,"Glen Ellyn, IL",2-year • Public,$5K,"$5,345",Not available,Not available,"425 Fawell Blvd, Glen Ellyn, IL 60137",Phone number not available,cod.edu,https://admissions.cod.edu/RecruitNewWFE/Account/Login?ReturnUrl=%2fRecruitNewWFE,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,20:1,67%,Not available,Not available,Not available,Suburban,123
College of Court Reporting,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3376_Logo.gif&w=3840&q=75,"Hobart, IN",2-year • Private,$37K,"$36,820",Not available,Not available,"455 West Lincolnway, Valparaiso, IN 46385, Hobart, IN 46342",Phone number not available,ccr.edu,http://www.ccr.edu/index.php/registration/college-admissions,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,13:1,100%,Not available,Not available,Not available,Suburban,3
College of Coastal Georgia,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F975_Logo.gif&w=3840&q=75,"Brunswick, GA",4-year • Public,$12K,"$12,117","$12,439",22%,"1 College Dr, Brunswick, GA 31520",,ccga.edu,https://www.ccga.edu/apply,97%,August 1,920–1110*,15–22*,Required,Neither required nor recommended,Neither required nor recommended,23:1,58%,June 1,"$10,092","2,750",Small • Urban,24
College of Charleston,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3088_Logo.gif&w=3840&q=75,"Charleston, SC",4-year • Public,$21K,"$21,120","$16,569",65%,"66 George St, Charleston, SC 29424",,charleston.edu,https://charleston.edu/admission/apply/index.php,72%,January 15,1150–1290*,24–29*,Required,Recommended,Required for some,16:1,82%,March 1,"$14,332","10,366",Large • Urban,84
College of Central Florida,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F1013_Logo.gif&w=3840&q=75,"Ocala, FL",4-year • Public,$8K,"$7,865",$958,Not available,"3001 SW College Road, Ocala, FL 34474",,cf.edu,https://www.cf.edu/admissions/apply/,58%,August 11,Not available*,21–30*,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,23:1,Not available,July 13,"$1,179","1,440",Small • Suburban,48
College Of Business And Technology Hialeah,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F214495_Logo.gif&w=3840&q=75,"Hialeah, FL",2-year • Private,$12K,"$11,589",Not available,Not available,"935 West 49th Street, Hialeah, FL 33012",,cbt.edu,https://www.cbt.edu/admissions/,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,7:1,92%,Not available,Not available,87,Small • Urban,4
College Of Business And Technology Flagler,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F202174_Logo.gif&w=3840&q=75,"Miami, FL",2-year • Private,$13K,"$12,750",Not available,Not available,"8230 W Flagler St, Miami, FL 33144",,cbt.edu,https://www.cbt.edu/admissions,95%,Not available,Not available*,Not available*,Considered but not required,Not available,Neither required nor recommended,5:1,85%,Not available,Not available,Not available,Urban,5
College Of Business And Technology Cutler Bay,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F272146_Logo.gif&w=3840&q=75,"Cutler Bay, FL",2-year • Private,$18K,"$17,963",Not available,Not available,"19151 S Dixie Hwy, Cutler Bay, FL 33157",,cbt.edu,https://www.cbt.edu/apply-now/,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,5:1,86%,Not available,Not available,Not available,Urban,8
College Of Biblical Studies Houston,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F4355_Logo.gif&w=3840&q=75,"Houston, TX",4-year • Private,$15K,"$15,423",Not available,Not available,"7000 Regency Square Blvd, Houston, TX 77036",Phone number not available,cbshouston.edu,https://www.cbshouston.edu/apply.html,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,12:1,57%,Not available,Not available,Not available,Urban,2
College Of Athens,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Watkinsville, GA",4-year • Private,Not available,Not available,"$3,011",Not available,"1331 New High Shoals Rd, Watkinsville, GA 30677",Phone number not available,collegeofathens.edu,https://coa.populiweb.com/router/admissions/onlineapplications/index?application_form=19159,100%,Not available,Not available*,Not available*,Recommended,Neither required nor recommended,Considered if submitted,4:1,100%,July 15,Not available,60,Small • Suburban,1
College of Alameda,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2983_Logo.gif&w=3840&q=75,"Alameda, CA",2-year • Public,$16K,"$15,641",Not available,Not available,"555 Atlantic Ave, Alameda, CA 94501",,alameda.peralta.edu,https://account.cccmypath.org/auth/realms/OpenCCC/protocol/openid-connect/auth?client_id=mypath-services&response_mode=fragment&response_type=code&cccMisCode=341&redirect_uri=https%3A%2F%2Fwww.cccmypath.org%2FuPortal%2Fopenid_connect_login?cccMisCode=341&scope=openid&kc_idp_hint=OpenCCC,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,30:1,56%,Not available,Not available,Not available,Urban,37
College for Creative Studies,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2958_Logo.gif&w=3840&q=75,"Detroit, MI",4-year • Private,$35K,"$34,906",Not available,64%,"201 East Kirby, Detroit, MI 48202",Phone number not available,ccsdetroit.edu,https://www.ccsdetroit.edu/apply/,49%,Not available,Not available*,Not available*,Recommended,Neither required nor recommended,Required,10:1,76%,Not available,"$15,272",Not available,Urban,15
Colgate University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F1314_Logo.gif&w=3840&q=75,"Hamilton, NY",4-year • Private,$27K,"$27,074","$64,210",91%,"13 Oak Dr, Hamilton, NY 13346",,colgate.edu,https://www.colgate.edu/admission-aid/apply,12%,January 15,1440–1510*,32–34*,Required,Required,Considered if submitted,9:1,93%,January 15,"$17,610","3,122",Medium • Rural,59
Colegio de Cinematografia Artes y Television,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F201155_Logo.gif&w=3840&q=75,"Bayamon, PR",2-year • Private,$2K,"$1,979",Not available,Not available,"51 Calle Dr, Santiago Veve, Bayamon, PR 00961",Phone number not available,ccat.edu,https://www.ccatpuertorico.com/solicitud-de-admision/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,30:1,53%,Not available,Not available,Not available,Urban,8
Colby-Sawyer College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F1379_Logo.gif&w=3840&q=75,"New London, NH",4-year • Private,$28K,"$28,202",Not available,59%,"541 Main St, New London, NH 03257",,colby-sawyer.edu,https://colby-sawyer.edu/apply/first-year-applications,79%,Not available,1020–1170*,20–24*,Recommended,Recommended,Considered if submitted,10:1,71%,Not available,"$17,364",868,Small • Rural,28
Colby Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F336_Logo.gif&w=3840&q=75,"Colby, KS",2-year • Public,$8K,"$8,128",Not available,Not available,"1255 S Range Ave, Colby, KS 67701",Phone number not available,colbycc.edu,https://www.colbycc.edu/apply-now/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,19:1,69%,Not available,"$6,712",Not available,Rural,28
Colby College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2392_Logo.gif&w=3840&q=75,"Waterville, ME",4-year • Private,$17K,"$16,951","$72,021",88%,"4000 Mayflower Hl, Waterville, ME 04901",,colby.edu,https://afa.colby.edu/apply/requirements/,7%,January 1,1450–1530*,32–34*,Considered but not required,Considered but not required,Considered if submitted,10:1,91%,February 1,"$17,890","2,282",Small • Rural,47
Coker University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3087_Logo.gif&w=3840&q=75,"Hartsville, SC",4-year • Private,$19K,"$19,345",Not available,42%,"300 E College Ave, Hartsville, SC 29550",,coker.edu,https://www.coker.edu/apply/,98%,Not available,940–1160*,16–24*,Required,Considered but not required,Recommended,12:1,62%,Not available,"$11,098",834,Small • Rural,66
Coffeyville Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3066_Logo.gif&w=3840&q=75,"Coffeyville, KS",2-year • Public,$7K,"$6,924",Not available,Not available,"400 W 11th St, Coffeyville, KS 67337",Phone number not available,coffeyville.edu,https://cc409-workflow.elluciancloud.com/syscc409/en/ellucianux/16699728360e30f80abb019029407004/85524153760e3230f4e4705067062726.php,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,22:1,57%,Not available,"$7,620",Not available,Rural,19
Coe College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3065_Logo.gif&w=3840&q=75,"Cedar Rapids, IA",4-year • Private,$21K,"$21,237","$51,851",65%,"1220 1st Ave NE, Cedar Rapids, IA 52402",,coe.edu,https://www.apply.coe.edu/apply/,64%,March 1,990–1260*,22–28*,Required,Considered but not required,Required for some,11:1,73%,Not available,"$12,238","1,164",Small • Urban,48
Coconino County Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F69_Logo.gif&w=3840&q=75,"Flagstaff, AZ",2-year • Public,$11K,"$10,730",Not available,Not available,"2800 S Lone Tree Rd, Flagstaff, AZ 86005",,coconino.edu,https://www.coconino.edu/apply-now,100%,Not available,Not available*,Not available*,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,27:1,53%,Not available,Not available,"2,610",Small • Rural,35
Cochran School of Nursing,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3391_Logo.gif&w=3840&q=75,"Yonkers, NY",2-year • Private,Not available,Not available,Not available,Not available,"967 N Broadway, Yonkers, NY 10701",Phone number not available,cochranschoolofnursing.us,https://portal.cochranschoolofnursing.us/forms/gen_cf/inq_app_exec_screen.cfm?scor_id=%2523%2528%2520%253FZ%250A,Not available,Not available,Not available*,Not available*,Neither required nor recommended,Not available,Not available,4:1,Not available,Not available,Not available,Not available,Urban,1
Cochise College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F912_Logo.gif&w=3840&q=75,"Sierra Vista, AZ",2-year • Public,$8K,"$7,759","$10,618",Not available,"901 Colombo Ave, Sierra Vista, AZ 85635",,cochise.edu,https://apply.cochise.edu/,100%,Not available,Not available*,Not available*,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,15:1,70%,Not available,"$10,490","3,797",Medium • Rural,75
COBA Academy,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Anaheim, CA",Less than 2-year • Career and Technical,$17K,"$16,746",Not available,Not available,"663 N Euclid St, Anaheim, CA 92801",Phone number not available,coba.edu,https://www.coba.edu/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,13:1,90%,Not available,Not available,Not available,Urban,3
Coastline Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3840_Logo.gif&w=3840&q=75,"Fountain Valley, CA",2-year • Public,$12K,"$11,886",Not available,Not available,"11460 Warner Ave, Fountain Valley, CA 92708",,coastline.edu,https://www.coastline.edu/admissions-and-records/apply-now/index.php,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,30:1,55%,Not available,Not available,"5,940",Medium • Suburban,52
Coastline Beauty College,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Fountain Valley, CA",Less than 2-year • Career and Technical,$15K,"$14,590",Not available,Not available,"16151 Harbor Blvd, Fountain Valley, CA 92708",Phone number not available,coastlinebeauty.edu,https://www.coastlinebeauty.edu/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,20:1,94%,Not available,Not available,Not available,Urban,5
Coastal Pines Technical College Jesup,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F257324_Logo.gif&w=3840&q=75,"Jesup, GA",2-year • Public,Not available,Not available,Not available,Not available,"1777 W Cherry St, Jesup, GA 31545",Phone number not available,coastalpines.edu,https://mycoastalpines.force.com/apply/TX_SiteLogin?startURL=%2Fapply%2FTargetX_Base__Portal,Not available,Not available,Not available*,Not available*,Neither required nor recommended,Neither required nor recommended,Not available,Not available,Not available,Not available,Not available,Not available,Rural,Not available
Coastal Carolina University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2675_Logo.gif&w=3840&q=75,"Conway, SC",4-year • Public,$14K,"$14,016","$13,118",48%,"103 Tom Trout Dr, Conway, SC 29526",,coastal.edu,https://www.coastal.edu/admissions/apply/,80%,February 1,1050–1200*,20–26*,Required,Recommended,Required for some,16:1,76%,January 1,"$13,100","9,909",Large • Suburban,73
Coastal Carolina Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F1016_Logo.gif&w=3840&q=75,"Jacksonville, NC",2-year • Public,$9K,"$9,278",Not available,Not available,"444 Western Blvd, Jacksonville, NC 28546",,coastalcarolina.edu,https://www.coastalcarolina.edu/admissions/admissions-steps/new-student/,79%,Not available,Not available*,Not available*,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,14:1,70%,Not available,Not available,"2,796",Small • Suburban,35
Coastal Bend College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2668_Logo.gif&w=3840&q=75,"Beeville, TX",2-year • Public,$5K,"$4,818",Not available,Not available,"3800 Charco Rd, Beeville, TX 78102",Phone number not available,coastalbend.edu,https://www.applytexas.org/adappc/gen/c_start.WBX,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,18:1,51%,Not available,"$6,951",Not available,Rural,25
Coastal Alabama Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3957_Logo.gif&w=3840&q=75,"BAY MINETTE, AL",2-year • Public,$8K,"$7,938",Not available,Not available,"1900 US-31, BAY MINETTE, AL 36507",Phone number not available,http://coastalalabama.edu,https://www.coastalalabama.edu/admissions-aid/apply/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,15:1,62%,Not available,"$4,800",Not available,Rural,30
Coahoma Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2765_Logo.gif&w=3840&q=75,"Clarksdale, MS",2-year • Public,$1K,$734,Not available,Not available,"3240 Friars Point Rd, Clarksdale, MS 38614",Phone number not available,coahomacc.edu,https://coahomacc.force.com/apply/TX_SiteLogin?startURL=%2Fapply%2FTargetX_Portal__PB,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,19:1,61%,Not available,"$4,920","1,615",Small • Rural,73
CMKL University,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Bangkokladkrabang, Thailand",International,Not available,Not available,Not available,Not available,"1 Soi Chalongkrung 1, Bangkokladkrabang, Thailand 10520",Phone number not available,,,,,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cloyd's Beauty School 3 Inc,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Monroe, LA",Less than 2-year • Career and Technical,$7K,"$6,724",Not available,Not available,"2514 Ferrand St, Monroe, LA 71201",Phone number not available,cloydsbeautyschools.edu,https://cloydsbeautyschools.edu/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,20:1,67%,Not available,Not available,Not available,Urban,4
Clovis Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F1045_Logo.gif&w=3840&q=75,"Clovis, NM",2-year • Public,$5K,"$5,034","$6,805",Not available,"417 Schepps Blvd, Clovis, NM 88101",,clovis.edu,https://www.clovis.edu/admissions/index.aspx,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,14:1,57%,Not available,Not available,"1,221",Small • Rural,48
Clover Park Technical College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F4367_Logo.gif&w=3840&q=75,"Lakewood, WA",4-year • Public,$6K,"$6,351",Not available,Not available,"4500 Steilacoom Blvd SW, Lakewood, WA 98499",Phone number not available,cptc.edu,https://apply.ctc.edu/user,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,19:1,Not available,Not available,Not available,Not available,Urban,51
Cloud County Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F342_Logo.gif&w=3840&q=75,"Concordia, KS",2-year • Public,$11K,"$11,016",Not available,Not available,"2221 Campus Dr, Concordia, KS 66901",Phone number not available,cloud.edu,https://icloud.cloud.edu/ICS/Admissions/Admissions.jnz?portlet=EX_FormFlow_-_Forms,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,14:1,66%,Not available,"$6,000",804,Small • Rural,17
Clinton Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F1345_Logo.gif&w=3840&q=75,"Plattsburgh, NY",2-year • Public,$8K,"$8,204",Not available,Not available,"136 Clinton Point Dr, Plattsburgh, NY 12901",,clinton.edu,https://application.clinton.edu/login.asp,67%,Not available,Not available*,Not available*,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,19:1,45%,Not available,Not available,388,Small • Rural,28
Clinton Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3064_Logo.gif&w=3840&q=75,"Clinton, IA",2-year • Public,Not available,Not available,Not available,Not available,"1000 Lincoln Blvd, Clinton, IA 52732",Phone number not available,eicc.edu,https://www.eicc.edu/future-students/applying/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,Not available
Clinton College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F242908_Logo.gif&w=3840&q=75,"Rock Hill, SC",4-year • Public,$15K,"$15,486","$11,845",8%,"1029 Crawford Rd, Rock Hill, SC 29730",Phone number not available,clintoncollege.edu,https://www.clintoncollege.edu/future-students/apply,78%,Not available,Not available*,Not available*,Not available,Not available,Not available,10:1,30%,August 8,"$13,800",Not available,Urban,5
Cleveland State University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2129_Logo.gif&w=3840&q=75,"Cleveland, OH",4-year • Public,$16K,"$15,719","$14,336",49%,"2121 Euclid Ave, Cleveland, OH 44115",,csuohio.edu,https://engagecsu.com/apply,85%,August 15,Not available*,18–24*,Required,Recommended,Required,17:1,69%,August 5,"$14,785","9,077",Large • Urban,125
Cleveland State Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3868_Logo.gif&w=3840&q=75,"Cleveland, TN",2-year • Public,$9K,"$9,129","$6,830",Not available,"3535 Adkisson Dr NW, Cleveland, TN 37312",,clevelandstatecc.edu,https://apply.clevelandstatecc.edu/portal/applytoday,100%,August 16,Not available*,14–20*,Neither required nor recommended,Neither required nor recommended,Not available,18:1,47%,May 16,Not available,"1,827",Small • Suburban,30
Cleveland Institute of Music,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F4457_Logo.gif&w=3840&q=75,"Cleveland, OH",4-year • Private,$29K,"$29,383",Not available,83%,"11021 East Blvd, Cleveland, OH 44106",,cim.edu,https://www.cim.edu/admissions/apply,34%,Not available,Not available*,Not available*,Recommended,Recommended,Considered if submitted,8:1,87%,Not available,"$20,280",230,Small • Urban,1
Cleveland Institute of Art,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F1577_Logo.gif&w=3840&q=75,"Cleveland, OH",4-year • Private,$33K,"$33,395","$33,186",73%,"11610 Euclid Ave, Cleveland, OH 44106",,cia.edu,https://go.cia.edu/apply/,88%,Not available,500–660*,23–29*,Required,Considered but not required,Considered if submitted,9:1,86%,Not available,"$15,180",536,Small • Urban,15
Cleveland Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F1188_Logo.gif&w=3840&q=75,"Shelby, NC",2-year • Public,$1K,"$1,181",Not available,Not available,"137 S Post Rd, Shelby, NC 28152",,clevelandcc.edu,https://clevelandcc.edu/programs/how-to-apply/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,15:1,22%,Not available,Not available,Not available,Rural,38
Clemson University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3086_Logo.gif&w=3840&q=75,"Clemson, SC",4-year • Public,$25K,"$24,577","$14,186",85%,"105 Sikes Hall, Clemson, SC 29634",,clemson.edu,https://www.clemson.edu/admissions/index.html,38%,May 1,1240–1400*,28–32*,Required,Required,Considered if submitted,15:1,92%,Not available,"$13,284","22,778",Very Large • Rural,167
Cleary University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F4456_Logo.gif&w=3840&q=75,"Howell, MI",4-year • Private,$21K,"$20,699",Not available,49%,"3750 Cleary Drive, Howell, MI 48843",Phone number not available,cleary.edu,https://www.cleary.edu/forms/student-application/,68%,Not available,Not available*,Not available*,Required,Neither required nor recommended,Not available,13:1,52%,Not available,"$10,300",Not available,Suburban,12
Clear Creek Baptist Bible College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2279_Logo.gif&w=3840&q=75,"Pineville, KY",4-year • Private,$17K,"$16,836",Not available,50%,"300 Clear Creek Rd, Pineville, KY 40977",Phone number not available,ccbbc.edu,https://www.ccbbc.edu/admissions/apply,Not available,Not available,Not available*,Not available*,Considered but not required,Neither required nor recommended,Not available,10:1,83%,Not available,"$5,120",Not available,Rural,1
Clayton State University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F977_Logo.gif&w=3840&q=75,"Morrow, GA",4-year • Public,$10K,"$9,792",Not available,35%,"2000 Clayton State Blvd, Morrow, GA 30260",Phone number not available,clayton.edu,https://www.clayton.edu/admissions/index,51%,Not available,880–1020*,18–22*,Required,Recommended,Required,16:1,71%,Not available,"$12,236","5,407",Medium • Suburban,45
